,Airline,Market_leg,NS_fc,SLFFC,OB%,cost_ratio
0,5J,BCDMNL,5.2,0.989,5.56,1.108085579327591
1,5J,BCDMNL,6.7,0.989,7.78,1.108085579327591
2,5J,BCDMNL,7.1,1.0,6.67,1.108085579327591
3,5J,BCDMNL,4.6,1.011,5.56,1.108085579327591
4,5J,BCDMNL,4.8,0.839,5.75,1.108085579327591
6,5J,BCDMNL,1.3,1.011,2.22,1.108085579327591
7,5J,BCDMNL,6.6000000000000005,1.011,7.78,1.108085579327591
8,5J,BCDMNL,6.3,0.994,6.11,1.108085579327591
9,5J,BCDMNL,7.9,0.994,7.78,1.108085579327591
10,5J,BKKMNL,4.3,0.617,6.1,1.0288796493988088
11,5J,BKKMNL,6.3,0.773,6.54,1.0288796493988088
12,5J,BKKMNL,5.0,0.81,5.45,1.0288796493988088
13,5J,BKKMNL,3.3000000000000003,0.771,4.14,1.0288796493988088
14,5J,BKKMNL,2.1999999999999997,0.793,2.61,1.0288796493988088
15,5J,BKKMNL,4.9,0.71,6.1,1.0288796493988088
16,5J,BKKMNL,6.7,0.776,6.97,1.0288796493988088
18,5J,BWNMNL,3.4000000000000004,0.59,4.79,0.9672110393720724
19,5J,BWNMNL,3.9,0.644,5.32,0.9672110393720724
21,5J,BXUMNL,4.1000000000000005,0.97,7.39,1.375824643541179
26,5J,BXUMNL,2.1999999999999997,0.968,3.72,1.375824643541179
27,5J,BXUMNL,4.6,0.941,5.91,1.375824643541179
28,5J,BXUMNL,3.6999999999999997,0.961,4.35,1.375824643541179
29,5J,BXUMNL,4.6,0.965,5.22,1.375824643541179
39,5J,CEBDVO,4.9,0.636,7.2,0.8533824690708081
40,5J,CEBDVO,3.3000000000000003,0.822,5.08,0.8533824690708081
41,5J,CEBDVO,4.9,0.593,7.2,0.8533824690708081
42,5J,CEBDVO,6.1,0.831,7.63,0.8533824690708081
43,5J,CEBDVO,5.7,0.996,5.08,0.8533824690708081
46,5J,CEBHKG,3.5000000000000004,0.65,3.89,0.6290027887296855
47,5J,CEBHKG,2.4,0.706,2.22,0.6290027887296855
