,Market_leg,Airline,reco_ratio,db_cost,es_cost,reco_coes,OW_optimized_OB
0,BCDCEB,5J,-0.01323583558250445,3399.0,1145.0,-45.0,1.4000000000000012
1,BCDCEB,DG,0.5797047729577851,3399.0,2554.0,1970.0,3.0999999999999917
2,BCDDVO,5J,0.9672153666540162,3499.0,2931.0,3384.0,4.0999999999999925
3,BCDMNL,5J,0.8281842177348684,3599.0,3988.0,2981.0,4.299999999999993
4,BKKCRK,5J,1.1974671290441288,8899.0,7313.0,10656.0,5.400000000000005
5,BKKMNL,5J,1.891616434776463,8899.0,9156.0,16833.0,7.699999999999996
6,BWNMNL,5J,2.0510228963635657,7899.0,7640.0,16201.0,8.499999999999996
7,BXUCEB,5J,0.4434741887185207,3319.0,2306.0,1472.0,2.6000000000000023
8,BXUCEB,DG,0.36545652484737,3319.0,4607.0,1213.0,4.0999999999999925
9,BXUMNL,5J,2.454888308350393,4699.0,6465.0,11536.0,8.600000000000009
10,CEBBCD,5J,-0.0915717188921905,3399.0,1570.0,-311.0,1.4999999999999902
11,CEBBCD,DG,-0.06632198083634797,3399.0,2437.0,-225.0,2.499999999999991
12,CEBBXU,5J,0.3748820989164459,3319.0,1906.0,1244.0,2.400000000000002
13,CEBBXU,DG,0.2779091222257252,3319.0,4311.0,922.0,3.699999999999992
14,CEBCGM,DG,0.2389644027003202,3099.0,2254.0,741.0,2.200000000000002
15,CEBCGY,5J,-0.10094112791214264,3299.0,1916.0,-333.0,2.499999999999991
16,CEBCGY,DG,0.3062171135153188,3299.0,2841.0,1010.0,3.299999999999992
17,CEBCRK,5J,0.4997067793497266,4399.0,4652.0,2198.0,4.499999999999993
18,CEBCYP,DG,0.6731040524942946,3199.0,3186.0,2153.0,4.0000000000000036
19,CEBDGT,DG,0.3935745728967562,2899.0,2565.0,1141.0,4.0999999999999925
20,CEBDMK,5J,1.8897008596238745,9799.0,9216.0,18517.0,5.899999999999994
21,CEBDRP,5J,0.9065241618630774,3299.0,2247.0,2991.0,3.299999999999992
22,CEBDRP,DG,0.9757248287020676,3299.0,4566.0,3219.0,5.200000000000005
23,CEBDVO,5J,0.7416809433717698,3799.0,3242.0,2818.0,4.200000000000004
24,CEBGES,5J,0.669910403643721,3399.0,1273.0,2277.0,4.0000000000000036
25,CEBHKG,5J,1.0382666979349973,10399.0,6541.0,10797.0,3.8000000000000034
26,CEBIAO,DG,1.047447722503328,3399.0,3234.0,3560.0,6.499999999999995
27,CEBICN,5J,0.9118524272802284,8599.0,5853.0,7841.0,5.000000000000004
28,CEBILO,5J,0.626898657062869,3299.0,2520.0,2068.0,2.6000000000000023
29,CEBILO,DG,0.6502166291841699,3299.0,3323.0,2145.0,3.600000000000003
30,CEBKIX,5J,1.0692470144519042,17299.0,7147.0,18497.0,4.200000000000004
31,CEBMBT,DG,1.1141763930539048,3999.0,4242.0,4456.0,5.899999999999994
32,CEBMNL,5J,0.4918897595782955,4399.0,2267.0,2164.0,3.8000000000000034
33,CEBMPH,5J,0.5283082843837258,3899.0,2754.0,2060.0,3.400000000000003
34,CEBNRT,5J,2.412610482899396,18399.0,9642.0,44390.0,7.899999999999996
35,CEBOZC,DG,0.17684018392992046,3399.0,3026.0,601.0,3.8000000000000034
36,CEBPAG,DG,0.5714012574195563,3899.0,2918.0,2228.0,4.299999999999993
37,CEBPPS,5J,0.8137640359675383,3799.0,4342.0,3091.0,4.600000000000004
38,CEBSGN,5J,0.7544382938246038,12599.0,4032.0,9505.0,3.699999999999992
39,CEBSIN,5J,1.098167224968765,10099.0,9886.0,11090.0,7.000000000000006
40,CEBTAC,DG,0.5054654591470408,3799.0,2662.0,1920.0,4.299999999999993
41,CEBUSU,DG,0.8632720128116631,4199.0,2911.0,3625.0,5.600000000000005
42,CEBZAM,5J,0.3738092057861922,3299.0,1171.0,1233.0,4.0000000000000036
43,CGKMNL,5J,2.5068970782216216,12599.0,12463.0,31584.0,9.000000000000007
44,CGYCEB,5J,0.15764561955112324,3299.0,2188.0,520.0,2.6000000000000023
45,CGYCEB,DG,0.2592966007511225,3299.0,3398.0,855.0,3.400000000000003
46,CGYDVO,DG,1.226013106674144,2699.0,3564.0,3309.0,6.2999999999999945
47,CGYILO,5J,0.803476388265153,3549.0,3654.0,2852.0,3.699999999999992
48,CGYMNL,5J,1.3422965071054789,4599.0,7032.0,6173.0,5.200000000000005
49,CNXMNL,5J,1.5561951279853659,9199.0,5698.0,14315.0,5.299999999999994
50,CRKBKK,5J,1.0293811066638765,8899.0,5241.0,9160.0,4.0000000000000036
51,CRKCEB,5J,0.3653054989768083,4399.0,1552.0,1607.0,3.699999999999992
52,CRKDVO,5J,1.7100410846546634,4839.0,5288.0,8275.0,6.800000000000006
53,CRKHKG,5J,0.6975879600467196,8599.0,6445.0,5999.0,3.499999999999992
54,CRKIAO,DG,0.21282242351852645,7399.0,2600.0,1575.0,2.8999999999999915
55,CRKILO,5J,0.5818949553342944,3199.0,1827.0,1861.0,3.0000000000000027
56,CRKMBT,DG,1.1176463035407198,5699.0,5092.0,6369.0,7.099999999999995
57,CRKMPH,5J,0.9873945630988481,4139.0,4678.0,4087.0,3.8999999999999924
58,CRKPPS,5J,0.9026458838518193,4059.0,3681.0,3664.0,4.400000000000004
59,CRKSIN,5J,1.1384172774852501,10489.0,12949.0,11941.0,4.699999999999993
60,CRKTAG,DG,0.09525845284960113,5099.0,4210.0,486.0,2.6999999999999913
61,CRKUSU,DG,0.14378885697737298,5599.0,3152.0,805.0,1.6999999999999904
62,CYPCEB,DG,0.41215777256080544,3199.0,3578.0,1318.0,3.8999999999999924
63,CYZMNL,5J,0.7801926383587319,3499.0,4036.0,2730.0,4.600000000000004
64,DADMNL,5J,1.1405610865815694,9788.0,10261.0,11164.0,4.800000000000004
65,DGTCEB,DG,0.7951912576377953,2899.0,2683.0,2305.0,4.0999999999999925
66,DGTMNL,5J,0.7148554959885338,4399.0,3749.0,3145.0,5.699999999999994
67,DMKCEB,5J,2.3601341998324306,9799.0,9399.0,23127.0,7.299999999999995
68,DMKDVO,5J,1.8351996229609064,10799.0,9725.0,19818.0,8.099999999999996
69,DMKILO,5J,0.9242311858546051,9999.0,5494.0,9241.0,5.000000000000004
70,DMKMNL,5J,1.2343756297003563,8899.0,6450.0,10985.0,5.800000000000005
71,DPSMNL,5J,2.2866776681250243,11299.0,9264.0,25837.0,8.499999999999996
72,DRPCEB,5J,0.9130548954735387,3299.0,2261.0,3012.0,3.600000000000003
73,DRPCEB,DG,1.2885184351923207,3299.0,4452.0,4251.0,5.000000000000004
74,DRPILO,5J,0.9441589582525859,3899.0,5575.0,3681.0,5.299999999999994
75,DRPMNL,5J,0.9394505788232509,4109.0,5090.0,3860.0,4.600000000000004
76,DVOBCD,5J,0.7394255919105414,3499.0,3782.0,2587.0,4.0000000000000036
77,DVOCEB,5J,0.93597435113778,3799.0,3410.0,3556.0,4.600000000000004
78,DVOCGY,DG,1.6409595402077806,2699.0,3233.0,4429.0,7.000000000000006
79,DVOCRK,5J,1.5952894764855898,4839.0,6213.0,7720.0,6.2999999999999945
80,DVODMK,5J,1.777479560002338,10799.0,10258.0,19195.0,6.099999999999994
81,DVOHKG,5J,2.4454879691600664,11199.0,15069.0,27387.0,8.699999999999996
82,DVOIAO,DG,1.1242224633622355,3799.0,2773.0,4271.0,6.699999999999995
83,DVOILO,5J,1.3391989725302413,4099.0,4572.0,5489.0,4.699999999999993
84,DVOMNL,5J,1.4622219606742115,5099.0,7917.0,7456.0,6.000000000000005
85,DVOTAC,5J,0.9825090100947509,3599.0,2812.0,3536.0,4.0999999999999925
86,DVOTAG,5J,1.0608029969371935,4399.0,3201.0,4666.0,4.400000000000004
87,DVOZAM,5J,1.0481736878045869,3699.0,3125.0,3877.0,4.899999999999993
88,GESCEB,5J,0.9007783124666146,3399.0,2882.0,3062.0,4.0999999999999925
89,GESMNL,5J,1.5729381741988826,5719.0,8529.0,8996.0,6.000000000000005
90,HANMNL,5J,1.9142220759851556,11099.0,7651.0,21246.0,6.600000000000006
91,HKGCEB,5J,1.1201768049417975,10399.0,7432.0,11649.0,4.0999999999999925
92,HKGCRK,5J,1.008864115002046,8599.0,8306.0,8675.0,4.299999999999993
93,HKGDVO,5J,2.6802001108604316,11199.0,15636.0,30016.0,8.800000000000008
94,HKGILO,5J,1.044481696495499,9899.0,9442.0,10339.0,4.200000000000004
95,HKGMNL,5J,0.7606106616083174,7989.0,4557.0,6077.0,3.8999999999999924
96,ICNCEB,5J,0.755940818265514,8599.0,5858.0,6500.0,3.699999999999992
97,ICNMNL,5J,0.9677936752706116,9069.0,4012.0,8777.0,3.8999999999999924
98,ILOCEB,5J,-0.27101319137686425,3299.0,319.0,-894.0,2.400000000000002
99,ILOCEB,DG,0.37895888115038634,3299.0,3413.0,1250.0,3.0000000000000027
100,ILOCGY,5J,0.5202695699753107,3549.0,1887.0,1846.0,3.299999999999992
101,ILOCRK,5J,0.4856073167872956,3199.0,2009.0,1553.0,2.8999999999999915
102,ILODMK,5J,0.9730222365432204,9999.0,4873.0,9729.0,3.8999999999999924
103,ILODRP,5J,0.7524367309265502,3899.0,3506.0,2934.0,4.0000000000000036
104,ILODVO,5J,1.4110277712194585,4099.0,4561.0,5784.0,4.600000000000004
105,ILOHKG,5J,1.327948608240222,9899.0,7950.0,13145.0,4.899999999999993
106,ILOMNL,5J,0.8237289957948836,4299.0,3705.0,3541.0,3.699999999999992
107,ILOPPS,5J,0.8395746805973006,3649.0,3410.0,3064.0,3.299999999999992
108,ILOTAG,5J,0.2649940302581038,2799.0,1461.0,742.0,1.8999999999999906
109,ILOZAM,5J,0.3845258610899644,3899.0,3422.0,1499.0,2.6999999999999913
110,KHHMNL,5J,0.868227125841423,6299.0,3527.0,5469.0,4.0000000000000036
111,KIXCEB,5J,1.3688791415120112,17299.0,8297.0,23680.0,4.899999999999993
112,KIXMNL,5J,1.239064621736995,23299.0,10114.0,28869.0,5.000000000000004
113,KLOMNL,5J,0.775968163290177,3809.0,3966.0,2956.0,4.699999999999993
114,LAOMNL,5J,0.46558680463136093,4499.0,2828.0,2095.0,3.299999999999992
115,MFMMNL,5J,2.1133064329596105,6799.0,8717.0,14368.0,7.899999999999996
116,MNLBCD,5J,0.8230330009637483,3599.0,3517.0,2962.0,4.200000000000004
117,MNLBKK,5J,1.1614379599195594,8899.0,9123.0,10336.0,4.699999999999993
118,MNLBWN,5J,1.6795414614505948,7899.0,4198.0,13267.0,6.400000000000006
119,MNLBXU,5J,1.986787014192279,4699.0,9694.0,9336.0,7.400000000000007
120,MNLCEB,5J,0.8232503282898637,4399.0,3501.0,3621.0,4.699999999999993
121,MNLCGK,5J,2.554039307793169,12599.0,15251.0,32178.0,9.000000000000007
122,MNLCGY,5J,1.35741708949451,4599.0,6800.0,6243.0,5.200000000000005
123,MNLCNX,5J,1.2370938519907742,9199.0,6356.0,11380.0,5.099999999999993
124,MNLCYZ,5J,0.49429068333993215,3499.0,2912.0,1730.0,3.600000000000003
125,MNLDAD,5J,1.2825758558944576,9788.0,8787.0,12554.0,4.699999999999993
126,MNLDGT,5J,1.1739956749945284,4399.0,5791.0,5164.0,6.000000000000005
127,MNLDMK,5J,1.292148034656611,8899.0,5221.0,11499.0,6.2999999999999945
128,MNLDPS,5J,2.0719774157184108,11299.0,10158.0,23411.0,8.099999999999996
129,MNLDRP,5J,1.3396859004026764,4109.0,6083.0,5505.0,5.600000000000005
130,MNLDVO,5J,1.266458189534953,5099.0,6480.0,6458.0,5.299999999999994
131,MNLGES,5J,1.6994652813673772,5719.0,8910.0,9719.0,6.099999999999994
132,MNLHAN,5J,1.6826565033096925,11099.0,8927.0,18676.0,6.600000000000006
133,MNLHKG,5J,0.6398688021374657,7989.0,4491.0,5112.0,3.200000000000003
134,MNLICN,5J,1.5093065794198353,9069.0,5334.0,13688.0,5.600000000000005
135,MNLILO,5J,0.8908379763877037,4299.0,3568.0,3830.0,4.0000000000000036
136,MNLKHH,5J,0.8284928710486564,6299.0,3255.0,5219.0,4.400000000000004
137,MNLKIX,5J,1.1282230657048604,23299.0,8037.0,26286.0,6.000000000000005
138,MNLKLO,5J,1.228136273379269,3809.0,5710.0,4678.0,4.899999999999993
139,MNLKUL,5J,1.4059916179921017,7299.0,4632.0,10262.0,7.000000000000006
140,MNLLAO,5J,1.135927242443469,4499.0,5417.0,5111.0,5.200000000000005
141,MNLMFM,5J,0.6556821190368238,6799.0,3518.0,4458.0,4.699999999999993
142,MNLMPH,5J,0.770625748741306,4799.0,5428.0,3698.0,3.499999999999992
